,path,emotion
0,data/training\Actor_01\01_01_01_01_dogs-sitting_sad.wav,sad
1,data/training\Actor_01\01_01_01_01_kids-talking_sad.wav,sad
2,data/training\Actor_01\01_01_01_02_dogs-sitting_sad.wav,sad
3,data/training\Actor_01\01_01_01_02_kids-talking_sad.wav,sad
4,data/training\Actor_01\01_01_02_01_dogs-sitting_sad.wav,sad
5,data/training\Actor_01\01_01_02_01_kids-talking_sad.wav,sad
6,data/training\Actor_01\01_01_02_02_dogs-sitting_sad.wav,sad
7,data/training\Actor_01\01_01_02_02_kids-talking_sad.wav,sad
8,data/training\Actor_01\01_02_01_01_dogs-sitting_sad.wav,sad
9,data/training\Actor_01\01_02_01_01_kids-talking_sad.wav,sad
10,data/training\Actor_01\01_02_01_02_dogs-sitting_sad.wav,sad
11,data/training\Actor_01\01_02_01_02_kids-talking_sad.wav,sad
12,data/training\Actor_01\01_02_02_01_dogs-sitting_sad.wav,sad
13,data/training\Actor_01\01_02_02_01_kids-talking_sad.wav,sad
14,data/training\Actor_01\01_02_02_02_dogs-sitting_sad.wav,sad
15,data/training\Actor_01\01_02_02_02_kids-talking_sad.wav,sad
16,data/training\Actor_01\03-02-04-01-01-01-01_sad.wav,sad
17,data/training\Actor_01\03-02-04-01-01-02-01_sad.wav,sad
18,data/training\Actor_01\03-02-04-01-02-01-01_sad.wav,sad
19,data/training\Actor_01\03-02-04-01-02-02-01_sad.wav,sad
20,data/training\Actor_01\03-02-04-02-01-01-01_sad.wav,sad
21,data/training\Actor_01\03-02-04-02-01-02-01_sad.wav,sad
22,data/training\Actor_01\03-02-04-02-02-01-01_sad.wav,sad
23,data/training\Actor_01\03-02-04-02-02-02-01_sad.wav,sad
24,data/training\Actor_02\02_01_01_01_dogs-sitting_sad.wav,sad
25,data/training\Actor_02\02_01_01_01_kids-talking_sad.wav,sad
26,data/training\Actor_02\02_01_01_02_dogs-sitting_sad.wav,sad
27,data/training\Actor_02\02_01_01_02_kids-talking_sad.wav,sad
28,data/training\Actor_02\02_01_02_01_dogs-sitting_sad.wav,sad
29,data/training\Actor_02\02_01_02_01_kids-talking_sad.wav,sad
30,data/training\Actor_02\02_01_02_02_dogs-sitting_sad.wav,sad
31,data/training\Actor_02\02_01_02_02_kids-talking_sad.wav,sad
32,data/training\Actor_02\02_02_01_01_dogs-sitting_sad.wav,sad
33,data/training\Actor_02\02_02_01_01_kids-talking_sad.wav,sad
34,data/training\Actor_02\02_02_01_02_dogs-sitting_sad.wav,sad
35,data/training\Actor_02\02_02_01_02_kids-talking_sad.wav,sad
36,data/training\Actor_02\02_02_02_01_dogs-sitting_sad.wav,sad
37,data/training\Actor_02\02_02_02_01_kids-talking_sad.wav,sad
38,data/training\Actor_02\02_02_02_02_dogs-sitting_sad.wav,sad
39,data/training\Actor_02\02_02_02_02_kids-talking_sad.wav,sad
40,data/training\Actor_02\03-02-04-01-01-01-02_sad.wav,sad
41,data/training\Actor_02\03-02-04-01-01-02-02_sad.wav,sad
42,data/training\Actor_02\03-02-04-01-02-01-02_sad.wav,sad
43,data/training\Actor_02\03-02-04-01-02-02-02_sad.wav,sad
44,data/training\Actor_02\03-02-04-02-01-01-02_sad.wav,sad
45,data/training\Actor_02\03-02-04-02-01-02-02_sad.wav,sad
46,data/training\Actor_02\03-02-04-02-02-01-02_sad.wav,sad
47,data/training\Actor_02\03-02-04-02-02-02-02_sad.wav,sad
48,data/training\Actor_03\03-02-04-01-01-01-03_sad.wav,sad
49,data/training\Actor_03\03-02-04-01-01-02-03_sad.wav,sad
50,data/training\Actor_03\03-02-04-01-02-01-03_sad.wav,sad
51,data/training\Actor_03\03-02-04-01-02-02-03_sad.wav,sad
52,data/training\Actor_03\03-02-04-02-01-01-03_sad.wav,sad
53,data/training\Actor_03\03-02-04-02-01-02-03_sad.wav,sad
54,data/training\Actor_03\03-02-04-02-02-01-03_sad.wav,sad
55,data/training\Actor_03\03-02-04-02-02-02-03_sad.wav,sad
56,data/training\Actor_03\03_01_01_01_dogs-sitting_sad.wav,sad
57,data/training\Actor_03\03_01_01_01_kids-talking_sad.wav,sad
58,data/training\Actor_03\03_01_01_02_dogs-sitting_sad.wav,sad
59,data/training\Actor_03\03_01_01_02_kids-talking_sad.wav,sad
60,data/training\Actor_03\03_01_02_01_dogs-sitting_sad.wav,sad
61,data/training\Actor_03\03_01_02_01_kids-talking_sad.wav,sad
62,data/training\Actor_03\03_01_02_02_dogs-sitting_sad.wav,sad
63,data/training\Actor_03\03_01_02_02_kids-talking_sad.wav,sad
64,data/training\Actor_03\03_02_01_01_dogs-sitting_sad.wav,sad
65,data/training\Actor_03\03_02_01_01_kids-talking_sad.wav,sad
66,data/training\Actor_03\03_02_01_02_dogs-sitting_sad.wav,sad
67,data/training\Actor_03\03_02_01_02_kids-talking_sad.wav,sad
68,data/training\Actor_03\03_02_02_01_dogs-sitting_sad.wav,sad
69,data/training\Actor_03\03_02_02_01_kids-talking_sad.wav,sad
70,data/training\Actor_03\03_02_02_02_dogs-sitting_sad.wav,sad
71,data/training\Actor_03\03_02_02_02_kids-talking_sad.wav,sad
72,data/training\Actor_04\03-02-04-01-01-01-04_sad.wav,sad
73,data/training\Actor_04\03-02-04-01-01-02-04_sad.wav,sad
74,data/training\Actor_04\03-02-04-01-02-01-04_sad.wav,sad
75,data/training\Actor_04\03-02-04-01-02-02-04_sad.wav,sad
76,data/training\Actor_04\03-02-04-02-01-01-04_sad.wav,sad
77,data/training\Actor_04\03-02-04-02-01-02-04_sad.wav,sad
78,data/training\Actor_04\03-02-04-02-02-01-04_sad.wav,sad
79,data/training\Actor_04\03-02-04-02-02-02-04_sad.wav,sad
80,data/training\Actor_04\04_01_01_01_dogs-sitting_sad.wav,sad
81,data/training\Actor_04\04_01_01_01_kids-talking_sad.wav,sad
82,data/training\Actor_04\04_01_01_02_dogs-sitting_sad.wav,sad
83,data/training\Actor_04\04_01_01_02_kids-talking_sad.wav,sad
84,data/training\Actor_04\04_01_02_01_dogs-sitting_sad.wav,sad
85,data/training\Actor_04\04_01_02_01_kids-talking_sad.wav,sad
86,data/training\Actor_04\04_01_02_02_dogs-sitting_sad.wav,sad
87,data/training\Actor_04\04_01_02_02_kids-talking_sad.wav,sad
88,data/training\Actor_04\04_02_01_01_dogs-sitting_sad.wav,sad
89,data/training\Actor_04\04_02_01_01_kids-talking_sad.wav,sad
90,data/training\Actor_04\04_02_01_02_dogs-sitting_sad.wav,sad
91,data/training\Actor_04\04_02_01_02_kids-talking_sad.wav,sad
92,data/training\Actor_04\04_02_02_01_dogs-sitting_sad.wav,sad
93,data/training\Actor_04\04_02_02_01_kids-talking_sad.wav,sad
94,data/training\Actor_04\04_02_02_02_dogs-sitting_sad.wav,sad
95,data/training\Actor_04\04_02_02_02_kids-talking_sad.wav,sad
96,data/training\Actor_05\03-02-04-01-01-01-05_sad.wav,sad
97,data/training\Actor_05\03-02-04-01-01-02-05_sad.wav,sad
98,data/training\Actor_05\03-02-04-01-02-01-05_sad.wav,sad
99,data/training\Actor_05\03-02-04-01-02-02-05_sad.wav,sad
100,data/training\Actor_05\03-02-04-02-01-01-05_sad.wav,sad
